institucion,descripcion,tipo,dias,tasa,tope,tasaTope,restricciones,notas
klar,Plazo 365 días %6.5,plazo,365,6.5,0,0,,
klar,Plazo 180 días %6.4,plazo, 180,6.4,0,0,,
klar,Plazo 90 días %6.3,plazo, 90,6.3,0,0,,
klar,Plazo 30 días %6.2,plazo, 30,6.2,0,0,,
klar,Klar plus 7 días %6.1,plazo, 7,6.1,0,0,,
klar,Klar plus 365 días %8.5,plazo,365,8.5,0,0,Klar Plus,
klar,Klar plus 180 días %8.4,plazo, 180,8.4,0,0,Klar Plus,
klar,Klar plus 90 días %8.3,plazo, 90,8.3,0,0,Klar Plus,
klar,Klar plus 30 días %8.2,plazo, 30,8.2,0,0,Klar Plus,
klar,Klar plus 7 días %8.0,plazo, 7,8.0,0,0,Klar Plus,
klar,Flexible %6.0,vista,0,6.0,0,0,,
klar,Flexible Max 15%,vista, 0,15,25000,6.0,Klar plus,
nu,Cajita 24/7 %6.75,vista,0,6.75,0,0,,
nu,Cajita Turbo %13,vista,0,13,25000,6.75,Una compra al mes,
nu,Congelado 7 días %6.8,plazo,7,6.8,0,0,,
nu,Congelado 28 días %6.85,plazo,28,6.85,0,0,,
nu,Congelado 90 días %6.95,plazo,90,6.95,0,0,,
nu,Congelado 180 días %7.05,plazo,180,7.05,0,0,,
mercado,A la vista %13,vista,0,13,25000,5.6,Ingresar 3mil al mes,
uala,A la vista %6.75,vista,0,6.75,30000,0,,
uala,A la vista %12,vista,0,12,30000,0,Gastar 3 mil al mes,
uala,A la vista %15,vista,0,15,30000,0,Gastar 6 mil al mes,
uala,Plazo %7.1,plazo,7,7.1,0,0,,
uala,Plazo %7.15,plazo,14,7.15,0,0,,
uala,Plazo %7.2,plazo,28,7.2,0,0,,
uala,Plazo %7.5,plazo,90,7.5,0,0,Promoción,
uala,Plazo %7.35,plazo,180,7.35,0,0,,
uala,Plazo %7.4,plazo,365,7.4,0,0,,
mifel,Cuenta Digital %10,vista,0,10,25000,0,,Depósitos mensuales limitados
mifel,Cuenta Digital Evoluciona %10,vista,0,10,500000,0,Evolucionar cuenta,
finsus,Ahorro Finsus+ %7.08,vista,0,7.08,0,0,,A la vista con apartado Finsus+
finsus,Apartado Finsus %4,vista,0,4,0,0,,Apartado normal
finsus,Plazo 7 días %7.09,plazo,7,7.09,0,0,,
finsus,Plazo 30 días %7.19,plazo,30,7.19,0,0,,
finsus,Plazo 90 días %7.59,plazo,90,7.59,0,0,,
finsus,Plazo 120 días %11.5,plazo,120,11.5,0,0,Promoción temporal,
finsus,Plazo 180 días %7.69,plazo,180,7.69,0,0,,
finsus,Plazo 360 días %9.09,plazo,360,9.09,0,0,,
finsus,Plazo 540 días %10.09,plazo,540,10.09,0,0,,
finsus,Plazo 720 días %7.01,plazo,720,7.01,0,0,,
finsus,Plazo 1080 días %10.2,plazo,1080,10.2,0,0,,
finsus,Plazo 1440 días %6.19,plazo,1440,6.19,0,0,,
finsus,Plazo 1800 días %10.30,plazo,1800,6.09,0,0,,
stori,Cuenta+ %6.77,vista,0,6.77,0,0,,Equivalente anual estimado con rendimiento diario
stori,Inversión+ 30 días %7.05,plazo,30,7.05,0,0,,
stori,Inversión+ 60 días %15,plazo,60,15,0,0,Límite de 10 mil/Stori Pro,GAT nominal promocional
stori,Inversión+ 90 días %8,plazo,90,8,0,0,,GAT nominal
stori,Inversión+ 180 días %8.25,plazo,180,8.25,0,0,,GAT nominal
stori,Inversión+ 360 días %8.25,plazo,360,8.25,0,0,,GAT nominal
cetes,BONDDIA %6.5,vista,0,6.5,0,0,,Liquidez diaria con tasa variable
cetes,CETES 28 días %6.49,plazo,28,6.49,0,0,,
cetes,CETES 91 días %6.67,plazo,91,6.67,0,0,,
cetes,CETES 182 días %6.75,plazo,182,6.75,0,0,,
cetes,CETES 364 días %7.19,plazo,364,7.19,0,0,,
supertasas,Inversión a la vista %6.6,vista,0,6.6,0,0,,
supertasas,Plazo 28 días %6.7,plazo,28,6.7,0,0,,
supertasas,Plazo 91 días %6.9,plazo,91,6.9,0,0,,
supertasas,Plazo 182 días %7.5,plazo,182,7.5,0,0,,
supertasas,Plazo 364 días %8.4,plazo,364,8.4,0,0,Pago al vencimiento
supertasas,Plazo 364 días %7.7,plazo,364,7.7,0,0,Intereses cada 28 días,
finamex,+CETES 28 días %6.49,plazo,28,6.49,0,0,,
finamex,+CETES 91 días %6.67,plazo,91,6.67,0,0,,
finamex,+CETES 182 días %6.75,plazo,182,6.75,0,0,,
finamex,+CETES 364 días %7.19,plazo,364,7.19,0,0,,
finamex,+CETES 728 días %8.15,plazo,728,8.15,0,0,,
openbank,Apartado Open 13%,vista,0,13,40000,7.3,,
didi,DiDi Cuenta %15,vista,0,15,10000,7.5,,
revolut,Apartado %15,vista,0,15,25000,7.5,,
